epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,73.2012,1.6206,2.97292,1.81471,0.54157,0.47847,0.42214,0.19546,1.77454,3.788,1.94453,0.00027151,0.00027151,0.00027151
2,165.935,1.85817,2.59458,1.794,0.10753,0.33333,0.12542,0.04016,2.8471,4.53827,2.68651,0.000551793,0.000551793,0.000551793
3,276.765,1.79862,2.69428,1.75966,0.09151,0.38889,0.11297,0.04916,1.9778,5.86212,2.30194,0.000826416,0.000826416,0.000826416
4,387.131,1.93782,2.72634,1.9218,0.01673,0.15152,0.01138,0.00432,2.88257,80.7041,3.07229,0.00109538,0.00109538,0.00109538
5,480.947,2.2838,3.00481,2.22107,0.0158,0.20202,0.01224,0.00201,3.58059,66.5292,4.59318,0.00135869,0.00135869,0.00135869
6,569.052,2.30559,2.81262,2.28921,0.01409,0.31313,0.00905,0.00239,2.89794,164.558,5.24305,0.00135826,0.00135826,0.00135826
7,686.134,2.22725,2.83273,2.20525,0.00518,0.40909,0.00682,0.00176,3.18645,342.089,6.02715,0.00134412,0.00134412,0.00134412
8,801.567,2.31627,2.95166,2.25516,0.00823,0.33333,0.05772,0.01174,2.83079,288.166,6.35042,0.00132997,0.00132997,0.00132997
9,897.536,2.19713,2.8018,2.18843,0.01265,0.43434,0.02531,0.00764,2.65979,258.388,4.54591,0.00131582,0.00131582,0.00131582
10,1031.23,2.11025,2.58373,2.08148,0.06424,0.28283,0.08154,0.02646,2.18892,20.035,2.57269,0.00130168,0.00130168,0.00130168
11,1149.91,1.96808,2.51712,1.98914,0.02866,0.20707,0.02535,0.0086,2.72251,25.2707,3.20623,0.00128753,0.00128753,0.00128753
12,1244.07,2.05526,2.53759,1.99672,0.24817,0.08586,0.04941,0.0116,3.86685,5.86576,3.61737,0.00127338,0.00127338,0.00127338
13,1354.33,2.08229,2.37405,2.03249,0.1934,0.40404,0.24269,0.08135,2.46513,7.07343,2.81392,0.00125923,0.00125923,0.00125923
14,1471.72,1.95877,2.34645,1.94898,0.21322,0.39394,0.31516,0.12004,1.98663,5.6009,1.99714,0.00124509,0.00124509,0.00124509
15,1569.92,1.91447,2.31862,1.94871,0.6325,0.24058,0.32041,0.12362,2.04862,2.897,2.1576,0.00123094,0.00123094,0.00123094
16,1676.69,1.86388,2.25388,1.86707,0.3761,0.53535,0.4332,0.1885,1.93413,3.96689,2.01178,0.00121679,0.00121679,0.00121679
17,1795.16,1.87059,2.31334,1.88977,0.50503,0.52574,0.50423,0.21799,1.52212,4.29137,1.72307,0.00120265,0.00120265,0.00120265
18,1915.47,1.87635,2.19371,1.92165,0.43336,0.37659,0.36897,0.12895,2.05942,3.90173,2.22511,0.0011885,0.0011885,0.0011885
19,2002.37,2.02322,2.2864,1.93431,0.26076,0.40945,0.36081,0.16329,1.79944,2.78348,2.08151,0.00117435,0.00117435,0.00117435
20,2083.81,1.90856,2.20262,1.90021,0.35334,0.38889,0.3657,0.19099,1.72723,2.32141,1.96445,0.00116021,0.00116021,0.00116021
21,2195.67,1.91531,2.08804,1.85414,0.43847,0.66667,0.42675,0.20827,1.78914,2.45739,1.90364,0.00114606,0.00114606,0.00114606
22,2294.32,1.7777,2.04055,1.75409,0.2861,0.79293,0.39066,0.16117,1.72634,4.86569,1.83164,0.00113191,0.00113191,0.00113191
23,2372.98,1.81975,2.02262,1.79191,0.35254,0.73459,0.47017,0.17646,1.6494,3.18661,1.68649,0.00111776,0.00111776,0.00111776
24,2454.58,1.80582,1.94575,1.80772,0.71607,0.5303,0.53559,0.23194,1.7066,1.87284,1.76298,0.00110362,0.00110362,0.00110362
25,2540.58,1.7594,1.95727,1.7631,0.57799,0.53234,0.5797,0.31023,1.57171,2.42634,1.69287,0.00108947,0.00108947,0.00108947
26,2619.74,1.81501,1.98188,1.84138,0.46366,0.48803,0.35501,0.15179,1.88548,4.72056,1.99429,0.00107532,0.00107532,0.00107532
27,2663.89,1.79608,1.88009,1.81842,0.26113,0.5303,0.27808,0.13459,2.01397,7.51637,2.15982,0.00106118,0.00106118,0.00106118
28,2720.94,1.81884,1.98079,1.84156,0.33591,0.47116,0.36085,0.19283,1.91019,4.26913,2.0502,0.00104703,0.00104703,0.00104703
29,2797.34,1.77363,1.94084,1.78884,0.39834,0.54715,0.41744,0.23536,1.76837,2.6209,1.80491,0.00103288,0.00103288,0.00103288
30,2859.43,1.78495,2.13438,1.89449,0.92348,0.38981,0.6296,0.33004,1.44039,2.24308,1.63898,0.00101873,0.00101873,0.00101873
31,2928.35,1.85774,2.01571,1.86765,0.56708,0.55489,0.56319,0.27959,1.47022,2.99085,1.67927,0.00100459,0.00100459,0.00100459
32,2975.35,1.85795,1.92388,1.79522,0.66162,0.38182,0.59704,0.31633,1.43688,3.11335,1.63445,0.00099044,0.00099044,0.00099044
33,3052.89,1.77357,1.874,1.73372,0.79044,0.52453,0.72498,0.37478,1.54297,2.24609,1.63356,0.000976293,0.000976293,0.000976293
34,3116.45,1.72115,1.82717,1.71613,0.42367,0.74997,0.61853,0.27155,1.76077,1.79397,1.70698,0.000962146,0.000962146,0.000962146
35,3182.02,1.72971,1.97929,1.74738,0.57057,0.75253,0.78021,0.42859,1.50396,1.64217,1.53776,0.000947999,0.000947999,0.000947999
36,3230.42,1.69691,1.91874,1.78386,0.49033,0.78721,0.7548,0.41571,1.46523,1.68441,1.54313,0.000933851,0.000933851,0.000933851
37,3302.08,1.7705,2.00069,1.80023,0.65582,0.79723,0.84877,0.46411,1.55763,1.49749,1.64693,0.000919704,0.000919704,0.000919704
38,3359.9,1.68598,1.89251,1.73519,0.5921,0.79293,0.78891,0.35754,1.85396,2.05401,1.86824,0.000905557,0.000905557,0.000905557
39,3410.29,1.71303,1.85095,1.70539,0.70613,0.70853,0.81187,0.4064,1.67286,1.81016,1.68145,0.00089141,0.00089141,0.00089141
40,3474.56,1.66804,1.76716,1.66556,0.81957,0.8749,0.91387,0.46098,1.32985,1.39947,1.41986,0.000877263,0.000877263,0.000877263
41,3549.5,1.6505,1.73523,1.63942,0.91068,0.72977,0.87048,0.42183,1.33596,1.29081,1.41113,0.000863116,0.000863116,0.000863116
42,3623.58,1.60215,1.77419,1.60597,0.6539,0.89107,0.91703,0.53072,1.22605,1.38352,1.33781,0.000848969,0.000848969,0.000848969
43,3662.82,1.71318,1.82522,1.71874,0.5984,0.91414,0.85066,0.49728,1.25174,1.34578,1.37657,0.000834822,0.000834822,0.000834822
44,3717.14,1.6284,1.72458,1.65072,0.60916,0.91414,0.80706,0.44866,1.33995,1.30422,1.43503,0.000820675,0.000820675,0.000820675
45,3789.98,1.6758,1.76078,1.71295,0.81473,0.8926,0.91966,0.51421,1.32586,1.20471,1.42154,0.000806528,0.000806528,0.000806528
46,3847.91,1.62759,1.75192,1.70928,0.85876,0.83333,0.91747,0.5466,1.37669,1.21241,1.45731,0.00079238,0.00079238,0.00079238
47,3905.17,1.62747,1.66727,1.65238,0.82768,0.87879,0.92518,0.53765,1.32261,1.09808,1.42073,0.000778233,0.000778233,0.000778233
48,3949.24,1.65883,1.72309,1.69149,0.761,0.95455,0.91321,0.53984,1.31662,1.11324,1.39666,0.000764086,0.000764086,0.000764086
49,4022.5,1.62123,1.63727,1.64953,0.62492,0.95455,0.90682,0.52695,1.25023,1.23771,1.3703,0.000749939,0.000749939,0.000749939
50,4095.11,1.58021,1.7032,1.65465,0.54019,0.92167,0.89795,0.48161,1.37607,1.28835,1.46054,0.000735792,0.000735792,0.000735792
51,4143.25,1.60334,1.70135,1.64415,0.7244,0.84343,0.87868,0.49001,1.3165,1.14769,1.43088,0.000721645,0.000721645,0.000721645
52,4191.81,1.56772,1.59759,1.64474,0.81816,0.80566,0.88123,0.50934,1.24802,1.12239,1.39947,0.000707498,0.000707498,0.000707498
53,4264.46,1.61169,1.59435,1.60087,0.93347,0.78559,0.89514,0.51391,1.21857,1.10766,1.38087,0.000693351,0.000693351,0.000693351
54,4324.73,1.5696,1.61659,1.61298,0.66614,0.89899,0.85885,0.48766,1.27572,1.25665,1.41949,0.000679204,0.000679204,0.000679204
55,4391.03,1.42406,1.4873,1.53208,0.6246,0.80746,0.88228,0.47863,1.34829,1.29676,1.45977,0.000665057,0.000665057,0.000665057
56,4434.85,1.48851,1.55525,1.54127,0.54775,0.72727,0.77184,0.42804,1.52165,1.36556,1.55964,0.000650909,0.000650909,0.000650909
57,4500.3,1.50782,1.61596,1.63828,0.62983,0.83838,0.8305,0.47357,1.3946,1.20419,1.47637,0.000636762,0.000636762,0.000636762
58,4564.93,1.48365,1.51614,1.57057,0.79636,0.86623,0.87584,0.55294,1.15876,1.08325,1.32457,0.000622615,0.000622615,0.000622615
59,4606.58,1.50571,1.44683,1.53194,0.75179,0.93939,0.90353,0.57782,1.08674,1.06459,1.29898,0.000608468,0.000608468,0.000608468
60,4651.87,1.5195,1.43372,1.56164,0.75104,0.96965,0.91811,0.58072,1.08072,1.08656,1.28204,0.000594321,0.000594321,0.000594321
61,4724.7,1.45727,1.42951,1.4994,0.69348,0.91228,0.91966,0.57332,1.11615,1.1503,1.28802,0.000580174,0.000580174,0.000580174
62,4776.5,1.50375,1.44815,1.54934,0.70453,0.89309,0.8971,0.52992,1.21172,1.15681,1.3156,0.000566027,0.000566027,0.000566027
63,4819.87,1.45067,1.43968,1.55948,0.74861,0.85566,0.86566,0.50339,1.23637,1.17524,1.35594,0.00055188,0.00055188,0.00055188
64,4875.07,1.59638,1.46755,1.66257,0.69491,0.87374,0.86701,0.52213,1.18673,1.15963,1.324,0.000537733,0.000537733,0.000537733
