epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.78895,1.24223,2.98928,1.42823,0.00418,1,0.6965,0.40045,1.13212,2.94742,1.18083,0.00015003,0.00015003,0.00015003
2,7.51398,1.21992,2.76364,1.37219,0.00422,1,0.67309,0.43026,1.0612,2.86716,1.17348,0.000310459,0.000310459,0.000310459
3,9.54647,1.23305,2.4873,1.35535,0.5,0.35105,0.71071,0.46564,1.16007,2.59557,1.20295,0.000464286,0.000464286,0.000464286
4,11.7695,1.23998,2.20522,1.35799,0.46059,0.30801,0.71857,0.43581,1.20652,2.47928,1.27384,0.000611512,0.000611512,0.000611512
5,13.6118,1.16713,2.08885,1.33313,0.88417,0.43282,0.82357,0.39926,1.30878,2.51936,1.49455,0.000752137,0.000752137,0.000752137
6,15.4302,1.292,1.88992,1.44598,0.83973,0.17946,0.53148,0.28859,1.42179,2.52004,1.67782,0.000886161,0.000886161,0.000886161
7,17.4603,1.33265,1.88296,1.35443,0.83973,0.17946,0.53148,0.28859,1.42179,2.52004,1.67782,0.00101358,0.00101358,0.00101358
8,19.3124,1.27805,1.7195,1.33114,0.63675,0.41667,0.64235,0.40711,1.43493,2.47215,1.66715,0.0011344,0.0011344,0.0011344
9,21.2515,1.26876,1.86423,1.3479,0.75494,0.58333,0.74641,0.3916,1.53848,2.25177,1.75577,0.00124862,0.00124862,0.00124862
10,23.0504,1.31887,1.91062,1.36606,0.75494,0.58333,0.74641,0.3916,1.53848,2.25177,1.75577,0.00135624,0.00135624,0.00135624
11,24.9344,1.3299,1.85872,1.4183,0.817,0.83333,0.86808,0.43091,1.52898,1.71244,1.66652,0.00133693,0.00133693,0.00133693
12,27.0026,1.24331,1.7175,1.34007,0.61837,0.91667,0.85159,0.47575,1.5643,1.90393,1.7975,0.00130393,0.00130393,0.00130393
13,29.2098,1.25496,1.60731,1.36687,0.61837,0.91667,0.85159,0.47575,1.5643,1.90393,1.7975,0.00127092,0.00127092,0.00127092
14,31.2848,1.15538,1.62903,1.31037,0.91103,0.33333,0.55765,0.26289,1.91632,2.51982,1.97516,0.00123791,0.00123791,0.00123791
15,33.5197,1.1603,1.70655,1.2699,0.49041,0.66667,0.64538,0.2824,1.99762,1.87091,1.86981,0.00120491,0.00120491,0.00120491
16,35.6115,1.20533,1.7239,1.36025,0.49041,0.66667,0.64538,0.2824,1.99762,1.87091,1.86981,0.0011719,0.0011719,0.0011719
17,37.5718,1.19,1.67325,1.34386,0.52037,0.86722,0.7273,0.30307,1.73167,2.40516,1.68211,0.00113889,0.00113889,0.00113889
18,39.9246,1.29968,1.79637,1.41222,0.52037,0.86722,0.7273,0.30307,1.73167,2.40516,1.68211,0.00110589,0.00110589,0.00110589
19,42.1787,1.13606,1.63963,1.30954,0.49485,0.89286,0.69525,0.39857,1.55236,2.52049,1.6197,0.00107288,0.00107288,0.00107288
20,45.4656,1.13368,1.64144,1.28509,0.53963,0.66667,0.59792,0.33067,1.56588,2.11233,1.65701,0.00103987,0.00103987,0.00103987
21,48.2846,1.17125,1.64424,1.27733,0.53963,0.66667,0.59792,0.33067,1.56588,2.11233,1.65701,0.00100687,0.00100687,0.00100687
22,51.2182,1.1068,1.50057,1.25394,0.53277,0.66667,0.52268,0.29845,1.57181,2.06813,1.68888,0.000973861,0.000973861,0.000973861
23,53.3222,1.14355,1.73861,1.32022,0.34209,0.91667,0.54522,0.27051,1.53886,2.13214,1.66857,0.000940855,0.000940855,0.000940855
24,55.4147,1.12965,1.59766,1.25193,0.34209,0.91667,0.54522,0.27051,1.53886,2.13214,1.66857,0.000907848,0.000907848,0.000907848
25,58.1439,1.12803,1.50448,1.29787,0.68678,0.66667,0.75062,0.34511,1.55295,1.96482,1.71243,0.000874842,0.000874842,0.000874842
26,61.9653,1.12549,1.50338,1.32233,0.68678,0.66667,0.75062,0.34511,1.55295,1.96482,1.71243,0.000841835,0.000841835,0.000841835
27,64.0125,1.03626,1.4258,1.27379,0.76002,0.91667,0.86139,0.36561,1.67999,1.92015,1.82794,0.000808828,0.000808828,0.000808828
28,66.2706,1.11729,1.44913,1.27594,0.76459,0.87519,0.84569,0.3609,1.71486,2.11767,1.91836,0.000775822,0.000775822,0.000775822
29,68.6221,1.10444,1.38007,1.27047,0.76459,0.87519,0.84569,0.3609,1.71486,2.11767,1.91836,0.000742815,0.000742815,0.000742815
30,70.6465,1.07387,1.41753,1.26415,0.74631,0.83333,0.75405,0.3255,1.6652,2.10742,1.89441,0.000709809,0.000709809,0.000709809
